date, pm25, pm10, o3, no2, so2, co
2020/5/1, 41, 29, 17, 6, 2, 5
2020/5/2, 64, 28, 20, 5, 2, 5
2020/5/3, 65, 30, 14, 5, 3, 5
2020/5/4, 72, 31, 17, 4, 3, 5
2020/5/5, 65, 29, 23, 7, 4, 4
2020/5/6, 44, 33, 22, 5, 3, 4
2020/5/7, 62, , , , , 
2020/4/1, 118, 50, 55, 5, 4, 15
2020/4/2, 101, 55, 66, 7, 4, 15
2020/4/3, 110, 59, 67, 8, 6, 8
2020/4/4, 130, 50, 40, 5, 5, 5
2020/4/5, 112, 51, 36, 7, 5, 4
2020/4/6, 97, 55, 40, 4, 6, 4
2020/4/7, 108, 27, 40, 5, 4, 3
2020/4/8, 77, 28, 50, 6, 6, 4
2020/4/9, 72, 21, 27, 3, 3, 5
2020/4/10, 66, 20, 23, 2, 4, 4
2020/4/11, 65, 36, 17, 3, 3, 4
2020/4/12, 77, 31, 22, 2, 4, 5
2020/4/13, 81, 45, 17, 2, 3, 5
2020/4/14, 85, 46, 18, 3, 4, 5
2020/4/15, 77, 50, 21, 5, 3, 5
2020/4/16, 88, 40, 16, 3, 4, 5
2020/4/17, 72, 26, 20, 3, 5, 5
2020/4/18, 68, 29, 20, 3, 4, 4
2020/4/19, 51, 26, 20, 3, 4, 5
2020/4/20, 57, 26, 16, 7, 3, 3
2020/4/21, 45, 23, 18, 5, 5, 4
2020/4/22, 62, 27, 14, 4, 3, 5
2020/4/23, 57, 29, 17, 4, 4, 4
2020/4/24, 46, 29, 19, 4, 4, 4
2020/4/25, 55, 30, 20, 4, 3, 4
2020/4/26, 59, 29, 12, 4, 3, 4
2020/4/27, 46, 31, 14, 5, 2, 5
2020/4/28, 38, 29, 18, 5, 3, 4
2020/4/29, 61, 29, 19, 5, 5, 5
2020/4/30, 56, 29, 17, 4, 3, 3
2020/3/1, 170, 122, 62, 33, 9, 18
2020/3/2, 167, 78, 14, 31, 4, 20
2020/3/3, 151, 61, 39, 19, 8, 12
2020/3/4, 123, 54, 36, 24, 4, 16
2020/3/5, 89, 56, 38, 20, 7, 12
2020/3/6, 94, 48, 25, 18, 4, 15
2020/3/7, 91, 56, 43, 22, 4, 14
2020/3/8, 100, 78, 70, 25, 4, 10
2020/3/9, 131, 85, 86, 29, 9, 14
2020/3/10, 139, 74, 72, 23, 6, 15
2020/3/11, 138, 78, 43, 23, 7, 14
2020/3/12, 143, 75, 68, 29, 6, 15
2020/3/13, 143, 70, 48, 12, 5, 11
2020/3/14, 112, 48, 53, 18, 7, 12
2020/3/15, 74, 82, 67, 28, 11, 16
2020/3/16, 145, 87, 72, 31, 6, 15
2020/3/17, 146, 101, 63, 35, 6, 18
2020/3/18, 155, 106, 100, 36, 7, 14
2020/3/19, 157, 63, 68, 25, 9, 11
2020/3/20, 97, 59, 64, 16, 8, 12
2020/3/21, 101, 25, 50, 11, 5, 9
2020/3/22, 53, 46, 73, 11, 5, 11
2020/3/23, 75, 45, 53, 8, 6, 11
2020/3/24, 84, 58, 51, 9, 7, 13
2020/3/25, 113, 48, 55, 8, 4, 11
2020/3/26, 86, 64, 60, 9, 7, 12
2020/3/27, 115, 59, 60, 8, 6, 12
2020/3/28, 108, 53, 65, 7, 5, 11
2020/3/29, 94, 50, 75, 9, 5, 11
2020/3/30, 96, 59, 70, 12, 5, 11
2020/3/31, 100, 60, 76, 6, 7, 14
2020/2/1, 148, , , , , 
2020/2/3, 132, 114, 69, 40, 7, 3
2020/2/4, 162, 126, 79, 34, 13, 4
2020/2/5, 172, 100, 64, 31, 5, 3
2020/2/6, 163, 97, 43, 25, 7, 2
2020/2/7, 157, 150, 6, 34, 7, 3
2020/2/8, 194, 107, 64, 26, 6, 3
2020/2/9, 170, 104, 72, 39, 8, 3
2020/2/10, 160, 148, 62, 44, 5, 3
2020/2/11, 186, 133, 69, 51, 7, 4
2020/2/12, 172, 134, 69, 49, 7, 4
2020/2/13, 176, 135, 70, 43, 12, 3
2020/2/14, 175, 97, 61, 41, 5, 5
2020/2/15, 147, 130, 68, 41, 6, 3
2020/2/16, 171, 122, 68, 43, 6, 3
2020/2/17, 171, 116, 66, 36, 6, 3
2020/2/18, 169, 84, 66, 23, 23, 3
2020/2/19, 156, 70, 66, 21, 19, 2
2020/2/20, 144, 103, 64, 41, 9, 3
2020/2/21, 161, 136, 67, 43, 7, 4
2020/2/22, 184, 125, 45, 33, 5, 3
2020/2/23, 173, 129, 34, 36, 9, 4
2020/2/24, 176, 95, 10, 33, 3, 6
2020/2/25, 152, 64, 7, 21, 3, 6
2020/2/26, 113, 64, 42, 28, 3, 4
2020/2/27, 113, 95, 53, 29, 4, 9
2020/2/28, 157, 97, 64, 37, 5, 13
2020/2/29, 156, 118, 74, 36, 5, 20
2020/1/1, 197, 136, 31, 25, 7, 39
2020/1/2, 185, 63, 22, 15, 5, 24
2020/1/3, 112, 81, 5, 13, 2, 29
2020/1/4, 126, 115, 10, 9, 2, 41
2020/1/5, 170, 118, 34, 15, 3, 34
2020/1/6, 174, 121, 38, 19, 4, 27
2020/1/7, 177, 132, 39, 19, 3, 12
2020/1/8, 185, 102, 19, 30, 3, 12
2020/1/9, 168, 92, 35, 23, 9, 11
2020/1/10, 161, 100, 34, 22, 4, 12
2020/1/11, 165, 96, 41, 25, 3, 11
2020/1/12, 166, 112, 52, 34, 3, 10
2020/1/13, 172, 207, 52, 53, 6, 14
2020/1/14, 223, 266, 61, 65, 6, 18
2020/1/15, 244, 246, 53, 49, 4, 16
2020/1/16, 231, 128, 48, 46, 4, 12
2020/1/17, 183, 111, 43, 43, 6, 12
2020/1/18, 169, 107, 38, 28, 4, 14
2020/1/19, 168, 87, 36, 28, 5, 12
2020/1/20, 160, 113, 51, 42, 5, 12
2020/1/21, 171, 139, 58, 56, 6, 4
2020/1/22, 187, 132, 40, 42, 6, 8
2020/1/23, 185, 107, 49, 41, 6, 4
2020/1/24, 155, 95, 57, 48, 5, 3
2020/1/25, 159, 146, 65, 48, 4, 7
2020/1/26, 192, 133, 52, 43, 3, 6
2020/1/27, 184, 133, 54, 39, 5, 3
2020/1/28, 193, 65, 28, 18, 1, 3
2020/1/29, 133, 79, 20, 22, 2, 6
2020/1/30, 147, 97, 43, 28, 6, 4
2020/1/31, 151, 89, 51, 31, 4, 3
2019/10/1, 82, 52, 29, 20, 2, 12
2019/10/2, 139, 15, 16, 21, 1, 12
2019/10/3, 87, 29, 28, 16, 2, 10
2019/10/4, 85, 49, 26, 21, 1, 14
2019/10/5, 105, 57, 24, 20, 1, 13
2019/10/6, 121, 40, 6, 20, 1, 12
2019/10/7, 98, , , , , 
2019/10/9, 53, 41, 11, 15, 1, 11
2019/10/10, 57, 60, 22, 21, 2, 16
2019/10/11, 122, 67, 27, 23, 1, 18
2019/10/12, 133, 78, 24, 24, 1, 13
2019/10/13, 158, 76, 39, 24, 4, 11
2019/10/14, 160, 76, 39, 26, 1, 12
2019/10/15, 155, 70, 26, 27, 1, 13
2019/10/16, 147, 68, 16, 27, 2, 15
2019/10/17, 132, 80, 27, 31, 1, 19
2019/10/18, 157, 83, 31, 27, 1, 17
2019/10/19, 155, 75, 33, 24, 1, 12
2019/10/20, 156, 92, 35, 23, 2, 13
2019/10/21, 173, 80, 32, 29, 2, 17
2019/10/22, 158, 109, 3, 35, 2, 22
2019/10/23, 186, , , , , 
2019/10/26, 88, 68, 24, 16, 2, 10
2019/10/27, 124, 130, 32, 20, 2, 8
2019/10/28, 187, 95, 32, 23, 2, 12
2019/10/29, 164, 103, 33, 26, 1, 16
2019/10/30, 172, 122, 35, 30, 1, 18
2019/10/31, 182, 125, 38, 32, 2, 18
2019/11/1, 176, 70, 30, 28, 2, 14
2019/11/2, 121, 87, 30, 24, 1, 11
2019/11/3, 143, 100, 34, 31, 2, 17
2019/11/4, 161, 142, 41, 36, 2, 21
2019/11/5, 192, 149, 39, 37, 2, 20
2019/11/6, 204, 112, 43, 40, 3, 13
2019/11/7, 165, 70, 19, 21, 1, 10
2019/11/8, 119, 24, 15, 9, 1, 9
2019/11/9, 49, 33, 24, 11, 1, 8
2019/11/10, 61, 55, 20, 20, 2, 14
2019/11/11, 83, 114, 43, 37, 3, 24
2019/11/12, 166, 118, 44, 41, 4, 20
2019/11/13, 173, 97, 38, 38, 3, 18
2019/11/14, 154, 95, 33, 33, 2, 18
2019/11/15, 143, 102, 45, 36, 2, 20
2019/11/16, 160, 108, 50, 34, 3, 18
2019/11/17, 163, 124, 58, 44, 3, 23
2019/11/18, 168, 117, 41, 39, 5, 17
2019/11/19, 164, 107, 49, 44, 3, 21
2019/11/20, 164, 114, 47, 41, 2, 17
2019/11/21, 165, 111, 42, 45, 4, 14
